Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 708,current eyeGaze_left: Position (-0.02797913, 1.126917, 0.0523773), Orientation(0.1168895, -0.02581706, -0.02278632, 0.9925479), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 722,current eyeGaze_left: Position (-0.02797913, 1.126917, 0.0523773), Orientation(0.1168895, -0.02581706, -0.02278632, 0.9925479), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 737,current eyeGaze_left: Position (-0.02755742, 1.127057, 0.05244253), Orientation(0.1175402, -0.0272507, -0.02343007, 0.9924177), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 749,current eyeGaze_left: Position (-0.02755742, 1.127057, 0.05244253), Orientation(0.1175402, -0.0272507, -0.02343007, 0.9924177), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 764,current eyeGaze_left: Position (-0.02755742, 1.127057, 0.05244253), Orientation(0.1175402, -0.0272507, -0.02343007, 0.9924177), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 778,current eyeGaze_left: Position (-0.02707029, 1.127141, 0.05255469), Orientation(0.1181328, -0.02769512, -0.02354256, 0.9923324), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 791,current eyeGaze_left: Position (-0.02707029, 1.127141, 0.05255469), Orientation(0.1181328, -0.02769512, -0.02354256, 0.9923324), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 805,current eyeGaze_left: Position (-0.02661568, 1.127219, 0.05244446), Orientation(0.1178249, -0.02972898, -0.02322013, 0.9923176), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 818,current eyeGaze_left: Position (-0.02661568, 1.127219, 0.05244446), Orientation(0.1178249, -0.02972898, -0.02322013, 0.9923176), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 833,current eyeGaze_left: Position (-0.02661568, 1.127219, 0.05244446), Orientation(0.1178249, -0.02972898, -0.02322013, 0.9923176), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 846,current eyeGaze_left: Position (-0.02628262, 1.127235, 0.05229027), Orientation(0.1167114, -0.03089804, -0.02272077, 0.992425), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 861,current eyeGaze_left: Position (-0.02628262, 1.127235, 0.05229027), Orientation(0.1167114, -0.03089804, -0.02272077, 0.992425), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 875,current eyeGaze_left: Position (-0.02610096, 1.127276, 0.05203297), Orientation(0.1158044, -0.02878449, -0.02137649, 0.9926246), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 888,current eyeGaze_left: Position (-0.02610096, 1.127276, 0.05203297), Orientation(0.1158044, -0.02878449, -0.02137649, 0.9926246), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 903,current eyeGaze_left: Position (-0.02600088, 1.127368, 0.05184446), Orientation(0.1165629, -0.02842087, -0.02026611, 0.9925697), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 916,current eyeGaze_left: Position (-0.02600088, 1.127368, 0.05184446), Orientation(0.1165629, -0.02842087, -0.02026611, 0.9925697), Confidence: 0.5

