Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 869,current eyeGaze_left: Position (-0.03558875, 0.7022693, -0.01782571), Orientation(0.0807054, 0.0001280713, -0.008578138, 0.9967011), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 882,current eyeGaze_left: Position (-0.03558875, 0.7022693, -0.01782571), Orientation(0.0807054, 0.0001280713, -0.008578138, 0.9967011), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 896,current eyeGaze_left: Position (-0.03545021, 0.7020786, -0.01739817), Orientation(0.08219254, -0.001314393, -0.007883903, 0.9965845), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 911,current eyeGaze_left: Position (-0.03545021, 0.7020786, -0.01739817), Orientation(0.08219254, -0.001314393, -0.007883903, 0.9965845), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 925,current eyeGaze_left: Position (-0.03523306, 0.7017829, -0.01682693), Orientation(0.08131124, -0.00363888, -0.007415994, 0.9966546), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 938,current eyeGaze_left: Position (-0.03523306, 0.7017829, -0.01682693), Orientation(0.08131124, -0.00363888, -0.007415994, 0.9966546), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 952,current eyeGaze_left: Position (-0.03523306, 0.7017829, -0.01682693), Orientation(0.08131124, -0.00363888, -0.007415994, 0.9966546), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 966,current eyeGaze_left: Position (-0.03495517, 0.7016981, -0.01602443), Orientation(0.0799612, -0.01044799, -0.007861275, 0.9967121), Confidence: 0.9980469

